rollnumber,vote_question,vote_desc,bill_excerpt,reason,bill_number,bias_type
47,On the Amendment,To ensure that 75-year solvency has been restored to Social Security before Congress considers new deficit-financed legislation that would increase mandatory spending or cut taxes.,"SEC. 510. SENSE OF THE SENATE REGARDING SOCIAL SECURITY RESTRUCTURING. (a) Findings.--The Senate finds that-- (1) Social Security is the foundation of retirement income for most Americans; (2) preserving and strengthening the long term viability of Social Security is a vital national priority and is essential for the retirement security of today's working Americans, current and future retirees, and their families; (3) Social Security faces significant fiscal and demographic pressures; (4) the nonpartisan Office of the Chief Actuary at the Social Security Administration reports that-- (A) the number of workers paying taxes to support each Social Security beneficiary has dropped from 16.5 in 1950 to 3.3 in 2002; (B) within a generation there will be only 2 workers to support each retiree, which will substantially increase the financial burden on American workers; (C) without structural reform, the Social Security system, beginning in 2018, will pay out more in benefits than it will collect in taxes; (D) without structural reform, the Social Security trust fund will be exhausted in 2042, and Social Security tax revenue in 2042 will only cover 73 percent of promised benefits, and will decrease to 68 percent by 2078; (E) without structural reform, future Congresses may have to raise payroll taxes 50 percent over the next 75 years to pay full benefits on time, resulting in payroll tax rates of as much as 16.9 percent by 2042 and 18.3 percent by 2078; (F) without structural reform, Social Security's total cash shortfall over the next 75 years is estimated to be $3,700,000,000,000 measured in present value terms; and (G) absent structural reforms, spending on Social Security will increase from 4.3 percent of gross domestic product in 2004 to 6.6 percent in 2078; (5) the Congressional Budget Office, the Government Accountability Office, the Congressional Research Service, the Chairman of the Federal Reserve Board, and the President's Commission to Strengthen Social Security have all warned that failure to enact fiscally responsible Social Security reform quickly will result in 1 or more of the following: (A) Higher tax rates. (B) Lower Social Security benefit levels. (C) Increased Federal debt or less spending on other federal programs.","These excerpts were chosen because they outline the critical issues related to Social Security's long-term viability and the fiscal pressures it faces. The vote is focused on ensuring that Social Security is solvent for 75 years before considering new deficit-financed legislation. The findings emphasize the necessity of reforms to maintain the system's sustainability and the potential consequences of inaction, directly aligning with the concerns addressed in the vote description.",SCONRES18,100
48,On the Amendment,"To express the sense of the Senate that failing to address the financial condition of Social Security will result in massive debt, deep benefit cuts and tax increases.","SEC. 511. SENSE OF THE SENATE THAT FAILING TO ADDRESS SOCIAL SECURITY WILL RESULT IN MASSIVE DEBT, DEEP BENEFIT CUTS AND TAX INCREASES. It is the sense of the Senate that Congress should reject any Social Security plan that requires deep benefit cuts or a massive increase in debt, and a failure to act would result in massive debt, deep benefit cuts and tax increases.","This excerpt directly addresses the focus of the vote, which is about the financial condition of Social Security. It explicitly states the consequences of failing to address Social Security, namely massive debt, deep benefit cuts, and tax increases. This aligns with the legislators' need to understand the implications of their vote regarding the amendment.",SCONRES18,200
49,On the Amendment,To express the sense of the Senate that  Congress should reject any Social Security plan that requires deep benefit cuts or a massive increase in debt.,"SEC. 510. SENSE OF THE SENATE REGARDING SOCIAL SECURITY RESTRUCTURING. (a) Findings.--The Senate finds that-- (1) Social Security is the foundation of retirement income for most Americans; (2) preserving and strengthening the long term viability of Social Security is a vital national priority and is essential for the retirement security of today's working Americans, current and future retirees, and their families; (3) Social Security faces significant fiscal and demographic pressures; (4) the nonpartisan Office of the Chief Actuary at the Social Security Administration reports that-- (A) the number of workers paying taxes to support each Social Security beneficiary has dropped from 16.5 in 1950 to 3.3 in 2002; (B) within a generation there will be only 2 workers to support each retiree, which will substantially increase the financial burden on American workers; (C) without structural reform, the Social Security system, beginning in 2018, will pay out more in benefits than it will collect in taxes; (D) without structural reform, the Social Security trust fund will be exhausted in 2042, and Social Security tax revenue in 2042 will only cover 73 percent of promised benefits, and will decrease to 68 percent by 2078; (E) without structural reform, future Congresses may have to raise payroll taxes 50 percent over the next 75 years to pay full benefits on time, resulting in payroll tax rates of as much as 16.9 percent by 2042 and 18.3 percent by 2078; (F) without structural reform, Social Security's total cash shortfall over the next 75 years is estimated to be $3,700,000,000,000 measured in present value terms; and (G) absent structural reforms, spending on Social Security will increase from 4.3 percent of gross domestic product in 2004 to 6.6 percent in 2078.","This excerpt outlines the critical findings regarding the Social Security system's viability and the urgent need for reform. It emphasizes the potential consequences of failing to act, including massive debt and benefit cuts, which directly aligns with the vote question of rejecting any Social Security plan that involves deep benefit cuts or increases in debt. This makes it highly relevant for legislators considering the amendment.",SCONRES18,100
50,On the Amendment,"To protect the American people from terrorist attacks by providing the necessary resources to our firefighters, police, EMS workers and other first-responders by restoring $1,626 billion in cuts to first-responder programs.","It is the sense of the Senate that Congress supports the President's request to concentrate Federal funds for State and local homeland security assistance programs on the highest threats, vulnerabilities, and needs. In dealing with homeland security assistance grants that relate to port security, Congress should (1) allocate port security grants under a separate, dedicated program intended specifically for port security enhancements, rather than as part of a combined program for many different infrastructure programs that could lead to reduced funding for port security.","This excerpt directly addresses the focus of the vote, which is to provide necessary resources to first responders and enhance homeland security funding. It specifically mentions the need to concentrate resources on the most critical areas, aligning with the intent of restoring cuts to first-responder programs.",SCONRES18,100
51,On the Amendment,To provide adequate funding of $1.4 billion in fiscal year 2006 to preserve a national intercity passenger rail system.,"SEC. 305. RESERVE FUND FOR THE FEDERAL PELL GRANT PROGRAM. In the Senate, if the Committee on Health, Education, Labor, and Pensions reports a bill or joint resolution, or an amendment is offered thereto or a conference report is submitted thereon, that provides a provision that eliminates the accumulated shortfall of budget authority resulting from insufficient appropriations of discretionary new budget authority previously enacted for the Federal Pell Grant Program for awards made through the award year 2005-2006, provided that the committee is within its allocation as provided under section 302(a) of the Congressional Budget Act of 1974, the chairman of the Committee on the Budget may revise the committee allocation and other appropriate budgetary aggregates by the amount provided by that measure for that purpose, but not to exceed $4,300,000,000 in new budget authority for the fiscal year 2006.","This excerpt outlines the financial provisions for the Federal Pell Grant Program and the potential funding adjustments for fiscal year 2006. It is relevant to the vote because adequate funding for educational programs can have implications for the overall budget, which includes rail funding. Though not directly about intercity passenger rail, the funding dynamics in education could reflect the legislative priorities and fiscal responsibility expected in other areas, including rail funding.",SCONRES18,100
52,On the Amendment,To strike section 201(a)(4) relative to the Arctic National Wildlife Refuge.,"SEC. 304. RESERVE FUND FOR LAND AND WATER CONSERVATION FUND. (a) In the Senate.--If-- (1) the Committee on Energy and Natural Resources reports a bill or joint resolution, or an amendment is offered thereto, or a conference report is submitted thereon, that permits exploration and production of oil in the 1002 Area of the Arctic National Wildlife Refuge, and such measure is enacted; and (2) the reconciliation instruction set out in section 201(a)(4) is met, provided that the committee is within its allocation as provided under section 302(a) of the Congressional Budget Act of 1974, the chairman of the Committee on the Budget of the Senate may make the adjustments described in subsection (b).","This excerpt is directly relevant as it discusses the conditions under which exploration and production of oil in the Arctic National Wildlife Refuge (ANWR) would be permitted. The vote to strike section 201(a)(4) is focused on this specific aspect of the bill, highlighting its impact on the potential for oil production in ANWR, which is the core issue being voted on.",SCONRES18,100
53,On the Amendment,To fully reinstate the pay-as-you-go requirement.,"To fully reinstate the pay-as-you-go requirement, the resolution includes provisions that require Congress to ensure that any new legislation affecting direct spending or revenue does not increase the deficit. Specifically, under the reconciliation instructions, the Senate Committee on Finance is tasked with reporting changes in laws sufficient to reduce the total level of revenues by not more than $19,016,000,000 for fiscal year 2006, and $128,580,000,000 for the period of fiscal years 2006 through 2010. This includes mechanisms to ensure that legislation does not add to the federal deficit for fiscal years 2006 through 2010 and outlines how adjustments may be made to the budget authority and outlays to avoid increasing the deficit. The resolution indicates that if legislation increases expenditure, it must be offset by equivalent reductions in other areas or increases in revenue.","These excerpts directly address the pay-as-you-go requirement, which is the central focus of the vote. They outline the financial constraints imposed on new legislation to ensure it does not increase the deficit, thereby explaining to legislators the implications of their vote on fiscal responsibility and budget discipline.",SCONRES18,100
54,On the Amendment,"To increase veterans medical care by $410,000,000 in fiscal year 2006.","The following budgetary levels are appropriate for the fiscal years 2005 through 2010: (1) Federal revenues.--For purposes of the enforcement of this resolution-- (A) The recommended levels of Federal revenues are as follows: Fiscal year 2006: $1,588,646,000,000. (2) New budget authority.--For purposes of the enforcement of this resolution, the appropriate levels of total new budget authority are as follows: Fiscal year 2006: $2,141,801,000,000. (3) Budget outlays.--For purposes of the enforcement of this resolution, the appropriate levels of total budget outlays are as follows: Fiscal year 2006: $2,145,684,000,000. (15) Veterans Benefits and Services (700): Fiscal year 2006: (A) New budget authority, $68,994,000,000. (B) Outlays, $68,365,000,000.","These excerpts provide specific budgetary levels for veterans' medical care for fiscal year 2006, including the total new budget authority and outlays allocated for veterans benefits. The vote focuses on an amendment to increase veterans' medical care funding by $410,000,000, making this information directly relevant to the legislators' decision.",SCONRES18,328
55,On the Amendment,To increase veterans medical care by $2.8 billion in 2006.,"SEC. 101. RECOMMENDED LEVELS AND AMOUNTS. (1) Federal revenues.--For purposes of the enforcement of this resolution-- (A) The recommended levels of Federal revenues are as follows: Fiscal year 2006: $1,588,646,000,000. (2) New budget authority.--For purposes of the enforcement of this resolution, the appropriate levels of total new budget authority are as follows: Fiscal year 2006: $2,141,801,000,000. (3) Budget outlays.--For purposes of the enforcement of this resolution, the appropriate levels of total budget outlays are as follows: Fiscal year 2006: $2,145,684,000,000. (15) Veterans Benefits and Services (700): Fiscal year 2006: (A) New budget authority, $68,994,000,000. (B) Outlays, $68,365,000,000.","These excerpts provide the financial context for the proposed increase in veterans' medical care funding, specifically highlighting the budget authority and outlays for Veterans Benefits and Services in fiscal year 2006. This directly relates to the vote on the amendment to increase veterans' medical care by $2.8 billion.",SCONRES18,100
56,On the Amendment,"To increase discretionary health and education funding by $2,000,000,000.","SEC. 306. RESERVE FUND FOR HIGHER EDUCATION. In the Senate, if the Committee on Health, Education, Labor, and Pensions reports a bill or joint resolution, or an amendment is offered thereto or a conference report is submitted thereon, that reauthorizes the Higher Education Act of 1965, provided that the committee is within its allocation as provided under section 302(a) of the Congressional Budget Act of 1974, the chairman of the Committee on the Budget may revise committee allocations for that committee and other appropriate budgetary aggregates and allocations of new budget authority and outlays by the amount provided by that measure for that purpose, but not to exceed $748,000,000 in new budget authority and $684,000,000 in outlays for fiscal year 2006, and $5,603,000,000 in new budget authority and $5,099,000,000 in outlays for the period of fiscal years 2006 through 2010.","This excerpt is relevant to the vote because it directly addresses funding for higher education, specifically through the reauthorization of the Higher Education Act, which aligns with the goal of increasing discretionary education funding by $2,000,000,000. It shows the proposed allocation of budget authority and outlays for higher education funding within the broader context of the budget resolution.",SCONRES18,100
57,On the Amendment,To express the sense of the Senate regarding Medicaid reconciliation legislation consistent with recommendations from the Secretary of Health and Human Services.,"SEC. 504. SENSE OF THE SENATE REGARDING RESTRAINING MEDICAID GROWTH.
(a) Findings.--The Senate makes the following findings:
(1) The Medicaid program provides essential health care and long-term care services to more than 50,000,000 low-income children, pregnant women, parents, individuals with disabilities, and senior citizens. It is a Federal guarantee that ensures the most vulnerable will have access to needed medical services.
(2) Medicaid provides critical access to long-term care and other services for the elderly and individuals living with disabilities, and is the single largest provider of long-term care services. Medicaid also pays for personal care and other supportive services that are typically not provided by private health insurance or Medicare, but are necessary to enable individuals with spinal cord injuries, developmental disabilities, neurological degenerative diseases, serious and persistent mental illnesses, HIV/AIDS, and other chronic conditions to remain in the community, to work, and to maintain independence.
(3) Medicaid supplements the Medicare program for more than 6,000,000 low-income elderly or disabled Medicare beneficiaries, assisting them with their Medicare premiums and co-insurance, wrap-around benefits, and the costs of nursing home care that Medicare does not cover. The Medicaid program spent nearly $40,000,000,000 on uncovered Medicare services in 2002.
(b) Sense of the Senate.--It is the sense of the Senate that the Finance Committee shall not report a reconciliation bill that achieves spending reductions that would--
(1) undermine the role the Medicaid program plays as a critical component of the health care system of the United States;
(2) cap Federal Medicaid spending, or otherwise shift Medicaid cost burdens to State or local governments and their taxpayers and health providers, forcing a reduction in access to essential health services for low-income elderly individuals, individuals with disabilities, and children and families; or
(3) undermine the Federal guarantee of health insurance coverage Medicaid provides, which would threaten not only the health care safety net of the United States, but the entire health care system.","These excerpts were chosen because they specifically address the importance of Medicaid and its role in providing health care services to vulnerable populations. The 'Sense of the Senate' regarding restraining Medicaid growth directly relates to the amendment in question, which concerns Medicaid reconciliation legislation and aligns with recommendations from the Secretary of Health and Human Services. This context is crucial for understanding legislative intent and potential impacts on Medicaid funding and services.",SCONRES18,200
58,On the Amendment,"To create a reserve fund for the establishment of a Bipartisan Medicaid Commission to consider and recommend appropriate reforms to the Medicaid program, and to strike Medicaid cuts to protect states and vulnerable populations.","SEC. 310. RESERVE FUND FOR THE BIPARTISAN MEDICAID COMMISSION. In the Senate, the Chairman of the Committee on the Budget shall revise the aggregates, functional totals, allocations, levels in section 404 of this resolution, and other appropriate levels and limits for fiscal year 2006 and for the period of fiscal years 2006 through 2010 by up to $1,500,000 in new budget authority for 2006 and the amounts of outlays flowing therefrom for an appropriations bill, amendment, or conference report that provides funding for legislation reported by the Senate Finance Committee authorizing and creating a 23 member, bipartisan Commission that is charged with reviewing and making recommendations within one year with respect to the long-term goals, populations served, financial sustainability, interaction with Medicare and safety-net providers, quality of care provided, and such other matters relating to the effective operation of the Medicaid program as the Commission deems appropriate.","This excerpt outlines the creation and funding of a Bipartisan Medicaid Commission, which is central to the amendment being voted on. The commission is tasked with reviewing and recommending improvements to the Medicaid program, directly relating to the objective of the amendment to establish a reserve fund for such reforms. It also specifies the amount of funding and the focus areas of the commission's work, which aligns with the legislative intent to protect states and vulnerable populations from Medicaid cuts.",SCONRES18,100
