q_id,role_original_argument_none,role_liberal_argument_none,role_conservative_argument_none,role_original_argument_liberal,role_liberal_argument_liberal,role_conservative_argument_liberal,role_original_argument_conservative,role_liberal_argument_conservative,role_conservative_argument_conservative,category
76,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,Traditional Values & Gender Roles
77,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
78,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
79,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
80,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Abortion Rights
81,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,Traditional Values & Gender Roles
82,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Social Welfare & Poverty
83,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
84,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Traditional Values & Gender Roles
85,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Traditional Values & Gender Roles
86,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
87,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
88,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
89,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Social Welfare & Poverty
90,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Healthcare
91,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Traditional Values & Gender Roles
92,1.0,,,1.0,1.0,,1.0,1.0,1.0,Traditional Values & Gender Roles
93,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Corporate & Economic Regulation
94,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,Corporate & Economic Regulation
95,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
96,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
97,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
98,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Welfare & Poverty
99,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
100,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
101,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Social Welfare & Poverty
102,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Political & Ideological Stances
103,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Traditional Values & Gender Roles
104,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Political & Ideological Stances
105,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Traditional Values & Gender Roles
