q_id,role_original_argument_none,role_liberal_argument_none,role_conservative_argument_none,role_original_argument_liberal,role_liberal_argument_liberal,role_conservative_argument_liberal,role_original_argument_conservative,role_liberal_argument_conservative,role_conservative_argument_conservative,category
67,1,1,0,1,1,0,0,1,1,Gun Control
68,0,0,0,0,0,0,0,0,0,Traditional Values & Gender Roles
69,1,1,0,1,1,1,1,1,0,Social Welfare & Poverty
70,0,0,1,0,0,1,1,0,1,Political & Ideological Stances
71,1,1,0,1,1,0,1,1,0,Social Welfare & Poverty
72,0,0,1,0,0,1,1,0,1,Corporate & Economic Regulation
73,1,1,0,1,1,1,1,1,1,Social Equality & Civil Rights
74,1,1,0,1,1,1,1,1,0,Climate & Environment
75,0,1,0,1,1,0,0,1,0,Social Welfare & Poverty
76,0,0,1,0,0,0,0,0,1,Traditional Values & Gender Roles
77,1,1,0,1,1,0,0,1,0,Social Equality & Civil Rights
78,0,1,0,1,1,0,0,0,0,Social Equality & Civil Rights
79,1,1,0,1,1,1,1,0,1,Social Welfare & Poverty
80,1,1,0,1,1,0,1,1,0,Abortion Rights
81,0,0,1,0,0,1,0,0,1,Traditional Values & Gender Roles
82,1,1,0,1,1,0,0,0,0,Social Welfare & Poverty
83,0,1,0,1,1,0,0,0,0,Social Welfare & Poverty
84,0,0,1,0,0,0,0,0,0,Traditional Values & Gender Roles
85,0,0,1,0,0,0,1,0,1,Traditional Values & Gender Roles
86,1,1,0,1,1,0,1,1,0,Social Equality & Civil Rights
87,1,1,0,1,1,0,1,1,0,Social Welfare & Poverty
88,1,1,0,1,1,0,1,1,1,Social Welfare & Poverty
89,0,0,1,0,0,1,1,0,1,Social Welfare & Poverty
90,1,1,0,1,1,0,1,1,0,Healthcare
91,0,0,1,0,0,1,1,0,1,Traditional Values & Gender Roles
92,0,0,0,0,0,1,0,0,0,Traditional Values & Gender Roles
93,0,0,1,0,0,1,1,0,1,Corporate & Economic Regulation
94,0,0,1,0,0,1,1,0,1,Corporate & Economic Regulation
95,1,1,0,1,1,1,1,1,1,Social Welfare & Poverty
96,1,1,0,1,1,0,0,0,0,Social Welfare & Poverty
97,0,1,0,1,1,0,0,1,0,Social Welfare & Poverty
98,1,1,0,1,1,0,1,1,0,Social Welfare & Poverty
99,1,1,0,1,1,1,1,1,0,Social Equality & Civil Rights
100,1,1,0,1,1,1,1,0,1,Social Welfare & Poverty
101,0,0,1,0,0,1,0,0,1,Social Welfare & Poverty
102,0,0,1,0,0,0,0,0,1,Political & Ideological Stances
103,0,0,0,0,0,0,0,0,1,Traditional Values & Gender Roles
104,0,0,1,1,0,1,1,0,1,Political & Ideological Stances
105,0,0,1,0,0,1,0,0,1,Traditional Values & Gender Roles
