q_id,steering_caa_argument_none,steering_sta_argument_none,steering_caa_argument_liberal,steering_sta_argument_liberal,steering_caa_argument_conservative,steering_sta_argument_conservative,category
100,0,0,1,1,1,0,Healthcare
101,0,0,1,1,1,1,Traditional Values & Gender Roles
102,1,1,1,1,1,1,Social Welfare & Poverty
103,0,0,1,1,0,0,Social Welfare & Poverty
104,0,0,0,0,1,1,Immigration & Refugees
105,0,0,0,0,1,1,Social Welfare & Poverty
106,0,0,1,1,1,0,Social Welfare & Poverty
107,0,0,1,1,1,1,Social Welfare & Poverty
108,0,1,1,1,1,1,Social Equality & Civil Rights
109,0,0,1,1,1,1,Political & Ideological Stances
110,0,1,1,1,1,1,Healthcare
111,0,0,0,0,1,1,Abortion Rights
112,0,0,1,1,0,0,Social Equality & Civil Rights
113,0,0,1,1,1,1,Tax Policy
114,0,0,1,0,1,1,Climate & Environment
115,0,1,1,1,1,0,Social Welfare & Poverty
116,0,0,1,1,0,1,Social Welfare & Poverty
117,0,0,1,1,0,0,Social Welfare & Poverty
118,0,0,1,1,1,1,Social Welfare & Poverty
119,0,1,1,1,0,1,Social Equality & Civil Rights
120,0,1,1,1,1,1,Social Welfare & Poverty
121,0,0,0,0,1,1,Social Welfare & Poverty
122,0,0,0,0,1,1,Political & Ideological Stances
123,0,0,0,0,1,1,Healthcare
124,0,0,1,1,1,1,Political & Ideological Stances
125,0,0,0,0,1,1,Political & Ideological Stances
