q_id,steering_caa_argument_none,steering_sta_argument_none,steering_caa_argument_liberal,steering_sta_argument_liberal,steering_caa_argument_conservative,steering_sta_argument_conservative,category
91,0,0,0,0,1,1,Traditional Values & Gender Roles
92,0,0,0,0,0,0,Traditional Values & Gender Roles
93,0,0,1,0,1,1,Corporate & Economic Regulation
94,0,0,1,1,1,1,Corporate & Economic Regulation
95,0,0,1,1,1,1,Social Welfare & Poverty
96,0,0,1,1,1,1,Social Welfare & Poverty
97,0,0,1,1,1,0,Social Welfare & Poverty
98,0,0,1,1,1,1,Social Welfare & Poverty
99,0,0,1,1,1,1,Social Equality & Civil Rights
100,0,0,1,1,1,1,Social Welfare & Poverty
101,0,0,0,0,1,1,Social Welfare & Poverty
102,0,0,0,0,1,1,Political & Ideological Stances
103,0,0,1,0,1,1,Traditional Values & Gender Roles
104,0,0,1,1,1,1,Political & Ideological Stances
105,0,0,0,0,0,0,Traditional Values & Gender Roles
