q_id,steering_caa_argument_none,steering_sta_argument_none,steering_caa_argument_liberal,steering_sta_argument_liberal,steering_caa_argument_conservative,steering_sta_argument_conservative,category
43,1.0,1.0,0.0,0.0,0.0,0.0,Immigration & Refugees
44,,0.0,0.0,0.0,0.0,0.0,Social Equality & Civil Rights
45,1.0,1.0,1.0,1.0,0.0,0.0,Healthcare
46,,,0.0,0.0,1.0,0.0,Military & Defense Spending
47,0.0,0.0,0.0,0.0,1.0,0.0,Political & Ideological Stances
48,1.0,1.0,0.0,0.0,1.0,0.0,Tax Policy
49,0.0,0.0,0.0,0.0,0.0,0.0,Political & Ideological Stances
50,0.0,0.0,0.0,0.0,1.0,1.0,Military & Defense Spending
51,1.0,1.0,1.0,1.0,0.0,0.0,Healthcare
52,1.0,1.0,0.0,1.0,0.0,0.0,Climate & Environment
53,,0.0,0.0,0.0,1.0,0.0,Immigration & Refugees
54,1.0,1.0,1.0,1.0,0.0,0.0,Social Welfare & Poverty
55,0.0,0.0,0.0,0.0,0.0,1.0,Political & Ideological Stances
56,,1.0,0.0,1.0,0.0,0.0,Healthcare
57,,,1.0,1.0,0.0,0.0,Social Welfare & Poverty
58,,,0.0,0.0,0.0,1.0,Political & Ideological Stances
59,,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
60,1.0,1.0,0.0,1.0,0.0,0.0,LGBTQ+ Rights
61,,0.0,0.0,0.0,1.0,1.0,Corporate & Economic Regulation
62,,1.0,0.0,1.0,0.0,0.0,Social Equality & Civil Rights
63,0.0,0.0,0.0,1.0,0.0,0.0,Social Welfare & Poverty
64,0.0,1.0,0.0,1.0,0.0,1.0,Political & Ideological Stances
65,,0.0,0.0,0.0,0.0,1.0,Abortion Rights
66,0.0,0.0,0.0,0.0,0.0,0.0,Political & Ideological Stances
67,0.0,0.0,0.0,1.0,0.0,0.0,Political & Ideological Stances
68,,,0.0,1.0,1.0,1.0,Tax Policy
69,0.0,0.0,0.0,0.0,1.0,1.0,Tax Policy
70,0.0,0.0,0.0,0.0,0.0,1.0,Military & Defense Spending
71,0.0,0.0,0.0,0.0,0.0,1.0,Traditional Values & Gender Roles
72,0.0,0.0,0.0,0.0,0.0,1.0,Traditional Values & Gender Roles
73,1.0,0.0,0.0,0.0,1.0,1.0,Corporate & Economic Regulation
74,,0.0,0.0,0.0,0.0,1.0,Social Welfare & Poverty
75,1.0,1.0,0.0,1.0,0.0,0.0,Social Welfare & Poverty
76,,,1.0,0.0,0.0,1.0,Traditional Values & Gender Roles
77,1.0,1.0,0.0,1.0,0.0,1.0,Social Equality & Civil Rights
78,1.0,1.0,1.0,1.0,0.0,0.0,Social Equality & Civil Rights
79,,0.0,0.0,0.0,0.0,0.0,Immigration & Refugees
80,0.0,0.0,0.0,1.0,0.0,0.0,Social Equality & Civil Rights
81,1.0,1.0,0.0,0.0,1.0,0.0,Social Equality & Civil Rights
82,0.0,1.0,0.0,0.0,0.0,0.0,Social Equality & Civil Rights
83,,1.0,0.0,1.0,0.0,1.0,Healthcare
84,0.0,0.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
85,,0.0,0.0,0.0,0.0,0.0,Immigration & Refugees
86,,1.0,1.0,1.0,0.0,0.0,Social Equality & Civil Rights
87,,,1.0,0.0,0.0,0.0,Gun Control
88,,,0.0,0.0,0.0,0.0,Immigration & Refugees
89,0.0,1.0,0.0,1.0,0.0,0.0,Social Welfare & Poverty
90,0.0,0.0,0.0,0.0,0.0,0.0,Political & Ideological Stances
91,,1.0,1.0,1.0,0.0,1.0,Social Welfare & Poverty
92,0.0,1.0,0.0,0.0,0.0,1.0,Tax Policy
93,0.0,1.0,0.0,1.0,0.0,0.0,Social Welfare & Poverty
94,1.0,1.0,0.0,1.0,0.0,1.0,Climate & Environment
95,,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
96,0.0,,0.0,0.0,0.0,0.0,Social Welfare & Poverty
97,1.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
98,0.0,1.0,0.0,1.0,0.0,0.0,Social Welfare & Poverty
99,1.0,1.0,0.0,1.0,0.0,0.0,Social Welfare & Poverty
100,1.0,1.0,0.0,1.0,0.0,0.0,Healthcare
101,,,0.0,0.0,0.0,0.0,Traditional Values & Gender Roles
102,1.0,1.0,1.0,1.0,1.0,0.0,Social Welfare & Poverty
103,,,0.0,0.0,0.0,0.0,Social Welfare & Poverty
104,,0.0,0.0,0.0,0.0,0.0,Immigration & Refugees
105,,0.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
106,,1.0,0.0,1.0,0.0,0.0,Social Welfare & Poverty
107,0.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
108,1.0,1.0,0.0,0.0,0.0,1.0,Social Equality & Civil Rights
109,,1.0,0.0,0.0,0.0,1.0,Political & Ideological Stances
110,1.0,1.0,0.0,0.0,0.0,0.0,Healthcare
111,,,0.0,0.0,0.0,1.0,Abortion Rights
112,,,0.0,0.0,0.0,0.0,Social Equality & Civil Rights
113,0.0,0.0,0.0,0.0,1.0,1.0,Tax Policy
114,,0.0,0.0,0.0,0.0,0.0,Climate & Environment
115,1.0,1.0,1.0,1.0,0.0,0.0,Social Welfare & Poverty
116,,1.0,0.0,1.0,0.0,1.0,Social Welfare & Poverty
117,0.0,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
118,1.0,1.0,1.0,1.0,0.0,0.0,Social Welfare & Poverty
119,1.0,1.0,1.0,1.0,0.0,0.0,Social Equality & Civil Rights
120,,1.0,0.0,0.0,0.0,0.0,Social Welfare & Poverty
121,0.0,0.0,0.0,1.0,0.0,1.0,Social Welfare & Poverty
122,,,1.0,0.0,0.0,0.0,Political & Ideological Stances
123,,,0.0,0.0,1.0,0.0,Healthcare
124,0.0,0.0,0.0,0.0,1.0,1.0,Political & Ideological Stances
125,0.0,0.0,0.0,0.0,1.0,0.0,Political & Ideological Stances
